Medication,Uses,Notes
Acetaminophen,"Fever, pain relief, headache, back pain, toothache, menstrual cramps, minor arthritis, muscle aches",Not for liver issues
Ibuprofen,"Pain, inflammation, headache, back pain, toothache, menstrual cramps, muscle aches, minor arthritis, fever",May irritate stomach
Diphenhydramine,"Allergy, sleep aid, motion sickness, cough suppressant",Causes drowsiness
Loratadine,"Allergy, hay fever, hives",Non-drowsy option
Lozenges,"Sore throat, mouth pain",Throat pain relief
Aspirin,"Pain, fever, inflammation, headache, heart attack prevention, toothache, back pain, menstrual cramps",Not for children with viral infections
Naproxen,"Pain, inflammation, headache, back pain, toothache, menstrual cramps, muscle aches, minor arthritis, fever",Longer acting NSAID
Cetirizine,"Allergy, hay fever, hives",May cause mild drowsiness
Fexofenadine,"Allergy, hay fever, hives",Non-drowsy option
Pseudoephedrine,"Nasal congestion, sinus pressure, sinus headache",May raise blood pressure
Phenylephrine,"Nasal congestion, sinus pressure",Less effective than pseudoephedrine
Dextromethorphan,"Cough suppressant",Do not combine with MAOIs
Guaifenesin,"Chest congestion, cough, mucus relief",Drink plenty of fluids
Calcium carbonate,"Heartburn, indigestion, upset stomach",Antacid
Loperamide,"Diarrhea, loose stools",Do not use with fever or blood in stool
Bismuth subsalicylate,"Upset stomach, diarrhea, nausea, indigestion, heartburn",May darken stool/tongue
Meclizine,"Motion sickness, vertigo, nausea",May cause drowsiness
Hydrocortisone cream,"Skin irritation, itching, rash, eczema",For external use only
Polyethylene glycol,"Constipation, bowel prep",Use as directed
Simethicone,"Gas relief, bloating, stomach pain",Generally well tolerated
Clotrimazole,"Yeast infection, athlete's foot, ringworm",Topical antifungal
Bacitracin,"Minor cuts, scrapes, burns",Topical antibiotic
Saline nasal spray,"Nasal dryness, congestion, sinus care",Safe for most ages
Artificial tears,"Dry eyes, eye irritation",For external use only
Aluminum hydroxide,"Heartburn, indigestion, upset stomach",Antacid
Magnesium hydroxide,"Constipation, heartburn, upset stomach",May cause diarrhea
Famotidine,"Heartburn, acid indigestion, sour stomach",Acid reducer
Ranitidine,"Heartburn, acid indigestion, sour stomach",Withdrawn in some countries
Omeprazole,"Heartburn, acid reflux, stomach ulcers",Proton pump inhibitor
Esomeprazole,"Heartburn, acid reflux, stomach ulcers",Proton pump inhibitor
Lansoprazole,"Heartburn, acid reflux, stomach ulcers",Proton pump inhibitor
Docusate,"Constipation, hard stools",Stool softener
Bisacodyl,"Constipation, bowel prep",Stimulant laxative
Senna,"Constipation, bowel prep",Stimulant laxative
Psyllium,"Constipation, diarrhea, irritable bowel syndrome",Fiber supplement
Methylcellulose,"Constipation, diarrhea, irritable bowel syndrome",Fiber supplement
Mineral oil,"Constipation, stool softening",Use short term only
Sodium bicarbonate,"Heartburn, indigestion, upset stomach",Short-term use
Alginic acid,"Heartburn, acid reflux",Forms protective barrier
Lactase,"Lactose intolerance, dairy digestion",Take with dairy
Alpha-galactosidase,"Gas relief, bloating, stomach pain",Take with meals
Beano,"Gas relief, bloating, stomach pain",Brand of alpha-galactosidase
Dimenhydrinate,"Motion sickness, nausea, vomiting, vertigo",May cause drowsiness
Scopolamine,"Motion sickness, nausea, vomiting",Prescription patch
Calamine lotion,"Itching, rash, insect bites, sunburn",Topical use
Diphenhydramine cream,"Itching, rash, insect bites",Topical antihistamine
Pramoxine,"Itching, minor pain, hemorrhoids",Topical anesthetic
Benzocaine,"Oral pain, sore throat, toothache, mouth ulcers",Topical anesthetic
Lidocaine,"Local pain, sunburn, hemorrhoids, minor burns",Topical anesthetic
Menthol,"Muscle pain, joint pain, headache (topical)",Topical analgesic
